commit_id,msg
b22ab40b0d3da6ae2d1506a54d399db939062205,"Fixing javadocs

https://github.com/Netflix/RxJava/issues/119

- added correct links to external images
- cleaned up some of the text
- improved some function memoization that was missed"
30e4c720d1c39b6e00f7f558f75710d5c5582204,"Merge pull request #120 from benjchristensen/javadocs

Fixing javadocs"
bdc13a3956475551df31e458769037996d152a38,Update README.md
f840b219a7c62d5a5a8412d7936dac8a38ac421b,Update README.md
1420453be9c649a1bd92a3a20acaeed76bff685b,Update README.md
413c5611f9c2b6767f33c6528bdfb8595c201246,Update README.md
16c9658c5568f05495567c602014ee10afb4a308,"Minor cleanup of Clojure example.

Cleaned up some formatting and spacing. Used future-cancel. Future
subscriptions were not being returned properly. Replaced use of #_ with
comment form. Fixed rest args usage for hello example."
9fc64f6cf877fac84631659eb66e6659b86a5b2e,"Merge pull request #121 from daveray/clj-cleanup

Minor cleanup of Clojure example."
846ed31f00b30361080ac6cf3adbef7085c516c6,scala support in examples
30455adbf72cc10b3a3f95dad9e4ea328524b5e6,"Commenting out non-deterministic portion of unit tests

These verifications are non-essential so commenting out right now until I or someone else has time to fix it correctly."
b68c71826f0b92bba2f6db99db9014bc5ecb5035,scala is building
1cf564aa40c5080da5e9c517b66767b3123730cf,"Eclipse build config

- Include 'provided' in Eclipse classpath
- Upgrade to Groovy 2.+"
221785ccb4dc552c394bcab640dbba16914ccab6,"Remove scala from rxjava-examples

Groovy and Scala can't co-exist in a single Eclipse project even though Gradle handles it fine.

Perhaps the examples should go in the /test/ folder of each of the rxjava-[language] projects instead of rxjava-examples?"
b63f594866f44ca430553bc77146ad9e08293cdf,"Merge pull request #122 from benjchristensen/examples

Examples Cleanup"
90a6ec4e833786ef8cd6312edd4453ba2f431621,clean-up
d0e0fd7dabe851fc055378c1857896765a1ab2a8,"Merge pull request #124 from jcacciatore/scala-example-cleanup

trivial syntax clean-up in scala adaptor"
56b52de87c2f3250d389239765b527dc1e3b929e,Basic take-while implementation
70c0c378c1d4edef599b715376e47cd7d9634098,TakeWhile support for predicate with index
99450efdf73ce468e282f40de10d3b6b08f8f3ef,Unit tests for take while
d34355b5b7d08fc6b9f6c07c62a83c82c241f1b4,Restored javadoc
77464d2dd3d8ce6fd37cdc5fd312c69f999c3c72,Update README
caf3a9434ed4b3b4efba6661891f02417aebf604,Code cleanup
e69b5961bee80fdc511b5343654264ba92e2009b,"Merge pull request #127 from matthewmichihara/master

Update README"
1f48ae1c61c41668f5e063192d0aafb53f988f2a,"Merge pull request #129 from mairbek/code-cleanup

Code cleanup"
6db29bf73efc6181e9837c24e08ac0f8b392ee33,"migrate unit tests for Groovy to separate Groovy file

- testing all Groovy functionality doesn't belong as an inner class
- it was awkard to load Groovy scripts via Java (leftover from previous codebase where Groovy wasn't part of build, only a runtime library)
- establish convention for each language to have a suite of tests in /src/test"
1bd63b5361de4d92272352be24353effdc0a4638,"remove rxjava-examples

Examples have been moved into /src/examples folders of each language-adaptor subproject."
456f51288ae109c23b9ad8c40a5082111778b8c3,README to explain unit tests
a5bf8babca9f7664df90ebcc0ee5ff1b489016a2,"clojure example code

- examples are in /src/examples/clojure
- placeholder for unit tests in /src/tests"
98a86c756b9ccd91683701286e07d5cb67868168,"groovy example code

- examples are in /src/examples/groovy"
88c301995fe38be35bd24e2e40f6018d0cf4f304,remove rxjava-examples submodule
e52bcda30df91896d1738506a363d51821c7fef4,clojure project build config
6e58701bd3035623259fa4edc748f237940d727e,"Merge pull request #132 from benjchristensen/language-tests-and-examples

Refactoring language tests and examples layout"
